1,-379
18,-316
72,-140
101,-388
109,-313
111,-319
189,-66
195,-312
201,-433
210,-231
217,-240
224,-246
231,-352
301,-334
384,-309
394,-185
401,-289
444,-349
501,-388
509,-304
537,-332
601,-424
620,-259
623,-183
701,-361
801,-424
901,-397
1001,-424
1101,-415
1139,-381
1201,-397
1301,-415
1374,-306
1401,-343
1412,-222
1501,-361
1509,-198
1511,-252
1601,-415
1627,-232
1686,-189
1701,-424
1737,-333
1746,-187
1789,-242
1796,-187
1801,-334
1901,-496
2001,-379
2101,-361
2201,-325
2225,-257
2243,-309
2253,-338
2301,-451
2359,-160
2401,-415
2501,-388
2601,-406
2664,-170
2701,-325
2757,-258
2801,-406
2885,-174
2889,-276
2901,-424
2929,-298
3001,-478
3048,-340
3050,-202
3101,-397
3201,-460
3301,-361
3401,-352
3417,-392
3438,-91
3489,-366
3501,-397
3543,-179
3578,-257
3601,-388
3701,-496
3768,-336
3801,-433
3863,-246
3901,-505
3967,-204
3976,-332
4001,-397
4034,-293
4038,-120
4101,-442
4157,-211
4166,-77
4196,-315
4201,-424
4301,-424
4302,-70
4305,-171
4315,-268
4328,-340
4401,-397
4501,-334
4601,-334
4701,-379
4737,-115
4757,-344
4773,-208
4801,-397
4836,-168
4857,-219
4901,-388
4956,-68
5001,-397
5101,-370
5146,-341
5155,-347
5174,-303
5201,-442
5251,-371
5301,-316
5382,-304
5401,-397
5407,-152
5501,-397
5547,-139
5550,-192
5580,-290
5601,-361
5644,-207
5659,-328
5666,-210
5695,-126
5701,-424
5745,-333
5801,-415
5810,-106
5834,-376
5838,-165
5901,-442
6001,-334
6003,-145
6101,-334
6109,-87
6201,-343
6301,-289
6401,-370
6415,-240
6501,-352
6601,-343
6701,-406
6801,-370
6839,-230
6874,-267
6901,-388
6912,-127
6988,-210
7001,-388
7006,-210
7090,-226
7101,-343
7113,-367
7181,-285
7190,-226
7201,-343
7301,-415
7355,-299
7384,-268
7401,-397
7501,-514
7504,-288
7574,-164
7590,-53
7601,-361
7658,-240
7701,-397
7713,-135
7801,-406
7883,-194
7893,-349
7901,-397
7910,-230
8001,-397
8018,-90
8101,-352
8158,-252
8201,-424
8240,-165
8301,-352
8401,-352
8430,-293
8501,-388
8541,-226
8601,-334
8701,-478
8801,-343
8818,-27
8901,-280
9001,-406
9035,-163
9067,-302
9081,-294
9094,-297
9101,-397
9201,-370
9206,-447
9301,-370
9313,-193
9357,-213
9401,-361
9406,-235
9448,-165
9470,-278
9501,-388
9539,-202
9568,-188
9601,-424
9621,-141
9701,-334
9726,-343
9773,-325
9801,-433
9836,-330
9856,-319
9864,-299
9901,-304
9916,-157
9930,-194
